Player Name,Kills,Deaths,K/D Ratio,+/-,Maps Played
⁠⁠Cellium,473,357,1.325,116,25
⁠⁠Pred,467,412,1.134,55,22
⁠⁠Dashy,271,231,1.173,40,15
⁠⁠Sib,440,403,1.092,37,22
⁠⁠Octane,348,312,1.115,36,19
⁠⁠aBeZy,502,467,1.075,35,25
⁠⁠Kenny,350,318,1.101,32,19
⁠⁠HyDra,236,219,1.078,17,13
⁠⁠Drazah,325,309,1.052,16,19
⁠⁠Envoy,339,323,1.05,16,19
⁠⁠Methodz,164,149,1.101,15,9
⁠⁠CleanX,283,275,1.029,8,13
⁠⁠Gismo,169,161,1.05,8,10
⁠⁠Cammy,261,254,1.028,7,13
⁠⁠PaulEhx,227,224,1.013,3,13
⁠⁠Bance,269,268,1.004,1,13
⁠⁠Arcitys,421,426,0.988,-5,25
⁠⁠Scump,290,298,0.973,-8,15
⁠⁠Zer0,148,156,0.949,-8,10
⁠⁠Insight,230,240,0.958,-10,13
⁠⁠iLLeY,263,281,0.936,-18,15
⁠⁠KiSMET,226,246,0.919,-20,13
⁠⁠Nastie,164,186,0.882,-22,10
⁠⁠Afro,140,163,0.859,-23,10
⁠⁠Vivid,181,204,0.887,-23,9
⁠⁠TJHaLy,171,195,0.877,-24,9
⁠⁠Crimsix,186,215,0.865,-29,13
⁠⁠Nero,180,213,0.845,-33,9
⁠⁠Accuracy,356,394,0.904,-38,22
⁠⁠Shotzzy,265,308,0.86,-43,15
⁠⁠Simp,423,471,0.898,-48,25
⁠⁠Mack,384,449,0.855,-65,22
